Time[s], Channel 0
0.000000000000000, 1
0.118920000000000, 0
0.127920000000000, 1
0.132920000000000, 0
0.133920000000000, 1
0.134920000000000, 0
0.135920000000000, 1
0.138920000000000, 0
0.139920000000000, 1
0.142920000000000, 0
0.143960000000000, 1
0.146960000000000, 0
0.147960000000000, 1
0.148960000000000, 0
0.149960000000000, 1
0.152960000000000, 0
0.153960000000000, 1
0.154960000000000, 0
0.155960000000000, 1
0.156960000000000, 0
0.157960000000000, 1
0.158960000000000, 0
0.159960000000000, 1
0.162960000000000, 0
0.163960000000000, 1
0.166960000000000, 0
0.167960000000000, 1
0.170960000000000, 0
0.171960000000000, 1
0.172960000000000, 0
0.173960000000000, 1
0.174960000000000, 0
0.175960000000000, 1
0.178960000000000, 0
0.179960000000000, 1
0.180960000000000, 0
0.181960000000000, 1
0.184960000000000, 0
0.185960000000000, 1
0.188960000000000, 0
0.190000000000000, 1
0.193000000000000, 0
0.194000000000000, 1
0.197000000000000, 0
0.198000000000000, 1
0.201000000000000, 0
0.202000000000000, 1
0.205000000000000, 0
0.206000000000000, 1
0.209000000000000, 0
0.210000000000000, 1
0.213000000000000, 0
0.214000000000000, 1
0.217000000000000, 0
0.218000000000000, 1
0.221000000000000, 0
0.222000000000000, 1
0.225000000000000, 0
0.226000000000000, 1
0.229000000000000, 0
0.230000000000000, 1
0.233000000000000, 0
0.234040000000000, 1
0.237000000000000, 0
0.238040000000000, 1
0.241040000000000, 0
0.242040000000000, 1
0.245040000000000, 0
0.246040000000000, 1
0.247040000000000, 0
0.248040000000000, 1
0.249040000000000, 0
0.250040000000000, 1
0.251040000000000, 0
0.252040000000000, 1
0.253040000000000, 0
0.254040000000000, 1
0.257040000000000, 0
0.258040000000000, 1
0.261040000000000, 0
0.262040000000000, 1
0.265040000000000, 0
0.266040000000000, 1
0.269040000000000, 0
0.270040000000000, 1
0.273040000000000, 0
0.274040000000000, 1
0.277040000000000, 0
0.278040000000000, 1
0.281040000000000, 0
0.282080000000000, 1
0.285080000000000, 0
0.286080000000000, 1
0.289080000000000, 0
0.290080000000000, 1
0.293080000000000, 0
0.294080000000000, 1
0.297080000000000, 0
0.298080000000000, 1
0.301080000000000, 0
0.302080000000000, 1
0.305080000000000, 0
0.306080000000000, 1
0.309080000000000, 0
0.310080000000000, 1
0.313080000000000, 0
0.314080000000000, 1
0.317080000000000, 0
0.318080000000000, 1
0.321080000000000, 0
0.322080000000000, 1
0.325080000000000, 0
0.326080000000000, 1
0.329080000000000, 0
0.330120000000000, 1
0.333120000000000, 0
0.334120000000000, 1
0.337120000000000, 0
0.338120000000000, 1
0.341120000000000, 0
0.342120000000000, 1
0.345120000000000, 0
0.346120000000000, 1
0.347120000000000, 0
0.348120000000000, 1
0.349120000000000, 0
0.350120000000000, 1
0.351120000000000, 0
0.352120000000000, 1
0.353120000000000, 0
0.354120000000000, 1
0.357120000000000, 0
0.358120000000000, 1
0.361120000000000, 0
0.362120000000000, 1
0.363120000000000, 0
0.364120000000000, 1
0.367120000000000, 0
0.368120000000000, 1
0.371120000000000, 0
0.372120000000000, 1
0.373120000000000, 0
0.374120000000000, 1
0.375120000000000, 0
0.376160000000000, 1
0.377120000000000, 0
0.378160000000000, 1
0.381160000000000, 0
0.382160000000000, 1
0.385160000000000, 0
0.386160000000000, 1
0.389160000000000, 0
0.390160000000000, 1
0.391160000000000, 0
0.392160000000000, 1
0.395160000000000, 0
0.396160000000000, 1
0.397160000000000, 0
0.398160000000000, 1
0.399160000000000, 0
0.400160000000000, 1
0.401160000000000, 0
0.402160000000000, 1
0.405160000000000, 0
0.406160000000000, 1
0.407160000000000, 0
0.408160000000000, 1
0.409160000000000, 0
0.410160000000000, 1
0.411160000000000, 0
0.412160000000000, 1
0.413160000000000, 0
0.414160000000000, 1
0.417160000000000, 0
0.418160000000000, 1
0.421160000000000, 0
0.422200000000000, 1
0.425200000000000, 0
0.426200000000000, 1
0.429200000000000, 0
0.430200000000000, 1
0.433200000000000, 0
